Label,OTUs,MajorCategory,MorphoFunctionalGroup
sporep,Sponge_repent_branching,Sponge,Sponge_repent_branching
spotub,Sponge_tubular,Sponge,Sponge_tubular
spycom,Spyridia_corticated_macrophyte,Macroalgae,Macroalgae_corticated_macrophyte
stebus,Stereonephthya_bushy,Soft coral,Soft coral_bushy
stienc,Stichodactylidae_encrusting,Actiniaria,Actiniaria_encrusting
stlenc,Stylocoeniella_encrusting,Hard coral,Hard coral_encrusting
stpcof,Spatoglossum/Stypopodium_corticated_foliose,Macroalgae,Macroalgae_corticated_foliose
stybus,Stylophora_bushy,Hard coral,Hard coral_bushy
syabus,Stylaster_bushy,Hard coral,Hard coral_bushy
symenc,Lobophyllia_encrusting,Hard coral,Hard coral_encrusting
symmas,Lobophyllia_massive,Hard coral,Hard coral_massive
taptws,tape_TWS,TWS,TWS
terenc,Terpios_encrusting,Sponge,Sponge_encrusting
thalhem,Thalassia_hemprichii_seagrass,Seagrass,Seagrass
triart,Tricleocarpa_articulated_calcareous,Macroalgae,Macroalgae_articulated_calcareous
trienc,Tridacna_encrusting,Other sessile invertebrates,Other sessile invertebrates
tubmas,Tubipora_massive,Hard coral,Hard coral_massive
turcom,Turbinaria_corticated_foliose,Macroalgae,Macroalgae_corticated_foliose
turenc,Turbinaria_encrusting,Hard coral,Hard coral_encrusting
turfil,Turf_filamentous,Turf,Turf_Turf
turfol,Turbinaria_foliose,Hard coral,Hard coral_foliose
turmas,Turbinaria_massive,Hard coral,Hard coral_massive
turrad_enc,Turbinaria_encrusting,Hard coral,Hard coral_encrusting
tursed,Turf_sedimented,Turf,Turf_Turf
tusbus,Tubastraea/Cladopsammia_bushy,Hard coral,Hard coral_bushy
tusenc,Tubastraea_encrusting,Hard coral,Hard coral_encrusting
tusmas,Tubastraea_massive,Hard coral,Hard coral_massive
udocom,Udotea_corticated_macrophyte,Macroalgae,Macroalgae_corticated_macrophyte
ulvfol,Ulva_foliose,Macroalgae,Macroalgae_corticated_foliose
unktws,unknown_TWS,TWS,TWS
valcof,Valonia_corticated_foliose,Macroalgae,Macroalgae_corticated_foliose
vimwhi,Viminella_whip,Gorgonian,Gorgonian_whip
wantws,wand_TWS,TWS,TWS
xesmas,Xestospongia_massive,Sponge,Sponge_massive
xnaclu,Xenia/Heteroxenia_clustered,Soft coral,Soft coral_clustered
zoaenc,Zoanthus_encrusting,Zoanthid,Zoanthid_encrusting
zoamas,Zoanthus_massive,Zoanthid,Zoanthid_massive
zoncof,Zonaria_corticated_foliose,Macroalgae,Macroalgae_corticated_foliose
