Label,OTUs,MajorCategory,Note
chacom,Chaetomorpha_corticated_macrophyte,Macroalgae,
chdfil,Chlorodesmis_filamentous,Macroalgae,
chibus,Chironephthya_bushy,Soft coral,
chlfol1,Chlorophyta_foliose1,Macroalgae,
chocom,Chondrus_corticated_macrophyte,Macroalgae,
claclu,Clavularia_clustered,Soft coral,(Anthelia philippinense)
clienc,Cliona_encrusting,Sponge,
clvclu,Clavelina_clustered,Ascidian,
codcom,Codium_corticated_macrophyte,Macroalgae,
coearb,Coelogorgia_arborescent,Gorgonian,
coeenc,Coeloseris_encrusting,Hard coral,
coemas,Coeloseris_massive,Hard coral,
conbus,Conglomeratusclera_bushy,Soft coral,(Sinularia yamazatoi)
conenc,Condylactis_encrusting,Actiniaria,
corenc,Corallimorpharia_encrusting,Corallimorpharia,
corenc1,Corallimorpharia_encrusting1,Corallimorpharia,
corenc2,Corallimorpharia_encrusting2,Corallimorpharia,
corenc3,Corallimorpharia_encrusting3,Corallimorpharia,
corenc4,Corallimorpharia_encrusting4,Corallimorpharia,
cosenc,Coscinaraea_encrusting,Hard coral,
cosmas,Coscinaraea_massive,Hard coral,
crioth,Crinoidae_other_life,Other mobile invertebrates,
culnov,Culcita_other_life,Other mobile invertebrates,
cyafil,Cyanobacteria_filamentous,Turf,
cycenc,Cycloseris_encrusting,Hard coral,
cycmas,Cycloseris_massive,Hard coral,
cypenc,Cyphastrea_spp/Turbinaria_radicalis_encrusting,Hard coral,(Turbinaria radicalis)
cypmas,Cyphastrea_massive,Hard coral,
cytbus,Cyathelia_bushy,Hard coral,
delcom,Delisea_corticated_macrophyte,Macroalgae,
denbus,Dendronephthya_bushy,Soft coral,
diaoth,Diadema_other_life,Other mobile invertebrates,
diccof,Dictyota_corticated_foliose,Macroalgae,
dicspha,Dictyosphaeria_encrusting like,Macroalgae,
didclu,Didemnum_clustered,Ascidian,
didenc,Didemnum_encrusting,Ascidian,
didere,Didemnum_erect_single,Ascidian,
dilmas,Diploastrea_massive,Hard coral,
dioart,Dichotomaria_articulated_calcareous,Macroalgae,
dipenc,Merulinidae_spp2_encrusting,Hard coral,Dipsastraea spp. / Astrea annuligera / Favites valenciennesii / Favites colemani
dipmas,Merulinidae_spp2_massive,Hard coral,Dipsastraea spp. / Astrea annuligera / Favites valenciennesii / Favites colemani
disenc,Discosoma_encrusting,Corallimorpharia,
ditfol,Dictyopteris_foliose,Macroalgae,
dudcom,Dudresnaya_corticated_macrophyte,Macroalgae,
echenc,Echinophyllia/Oxypora_encrusting,Hard coral,Echinophyllia spp. / Oxypora spp.
echmas,Echinophyllia/Oxypora_massive,Hard coral,Echinophyllia spp. / Oxypora spp.
echoth,Echinometridae_other_life,Other mobile invertebrates,
ecoenc,Echinopora_encrusting,Hard coral,
ecofol,Echinopora_foliose,Hard coral,
effclu,Efflatounaria_clustered,Soft coral,
ellarb,Ellisella/Juncella_arborescent,Gorgonian,Ellisella spp. / Juncella spp.
entenc,Entacmaea_encrusting,Actiniaria,
epiarb,Epizoanthus_arborescent,Zoanthid,
euccom,Eucheuma_corticated_macrophyte,Macroalgae,
euparb,Euplexaura_arborescent,Gorgonian,
eupfan,Euplexaura_fan,Gorgonian,
eupmas,Euphyllia_massive,Hard coral,
faienc,Merulinidae_spp1_encrusting,Hard coral,Favites spp. / Goniastrea spp. / Coelastrea spp. / Coeloseris mayeri / Gardineroseris planulata / Paragoniastrea russelli / Paragoniastrea deformis
faimas,Merulinidae_spp1_massive,Hard coral,Favites spp. / Goniastrea spp. / Coelastrea spp. / Coeloseris mayeri / Gardineroseris planulata / Paragoniastrea russelli / Paragoniastrea deformis
fimmas,Fimbriaphyllia_massive,Hard coral,
fistws,fishing_lines_tws,Artificial Debris,
foroth,Foraminifera_other_life,Other mobile invertebrates,
funmas,Fungiidae_massive,Hard coral,(Halomitra pileus)
galenc,Galaxea_encrusting,Hard coral,
galmas,Galaxea_massive,Hard coral,
garenc,Gardineroseris_encrusting,Hard coral,
garmas,Gardineroseris_massive,Hard coral,
gasoth,Gastropoda_other_life,Other mobile invertebrates,
glaart,Galaxaura_articulated_calcareous,Macroalgae,
gnicol,Goniopora_columnar,Hard coral,
gnienc,Goniopora_encrusting,Hard coral,
gnimas,Goniopora_massive,Hard coral,
gonenc,Merulinidae_spp1_encrusting,Hard coral,Favites spp. / Goniastrea spp. / Coelastrea spp. / Coeloseris mayeri / Gardineroseris planulata / Paragoniastrea russelli / Paragoniastrea deformis
gonmas,Merulinidae_spp1_massive,Hard coral,Favites spp. / Goniastrea spp. / Coelastrea spp. / Coeloseris mayeri / Gardineroseris planulata / Paragoniastrea russelli / Paragoniastrea deformis
gracom,Gracilaria_corticated_macrophyte,Macroalgae,
gravus,gravel/small rubble_unstable_substrate,Unstable substrate,
hacenc,hard_coral_encrusting,Hard coral,
halart,Halimeda_articulated_calcareouseous,Macroalgae,
halova,Halophila_ovalis_seagrass,Seagrass,# we put Seagrass in to Macroalgae
helbus,Heliopora_bushy,Hard coral,## Octocorallia
helenc,Heliopora_encrusting,Hard coral,## Octocorallia
hemoth,Hemicentrotus_other_life,Other mobile invertebrates,
hetclu,Xenia/Heteroxenia_clustered,Soft coral,Xenia spp. / Heteroxenia spp. / Anthelia elongata / Sansibia flava / Sansibia formosana / Yamazatum iubatum
hetenc,Heteractis_encrusting,Actiniaria,
hicbus,Hicksonella_bushy,Gorgonian,
hlmfol,Halymenia_foliose,Macroalgae,
holospp,Holothuroidea_spp,Other mobile invertebrates,(All Sea Cucumber)
hydarb,Hydonophora_arborescent/Montipora_arborescent (crasinata-like),Hard coral,(Montipora carinata / Montipora stellata)
hydbus,Hydonophora_arborescent/Montipora_bushy (crasinata-like),Hard coral,(Montipora carinata / Montipora stellata)
hydcom,Hydropuntia_corticated_macrophyte,Macroalgae,
hydenc,Hydnophora_encrusting,Hard coral,
hydmas,Hydnophora_massive,Hard coral,
hypcom,Hypnea_corticated_macrophyte,Macroalgae,
hyrarb,Hydrozoa_arborescent,Hydrozoa,
hyrbus,Hydrozoa_bushy,Hydrozoa,
hyrplu,Hydrozoa_plumose,Hydrozoa,
isiarb,Isis_arborescent,Gorgonian,
isparb,Isopora_arborescent,Hard coral,
ispcol,Isopora_columnar,Hard coral,
ispenc,Isopora_encrusting,Hard coral,
ispmas,Isopora_massive,Hard coral,
janart,Jania_articulated_calcareous,Macroalgae,
junwhi,Ellisella/Juncella_whip,Gorgonian,Ellisella spp. / Juncella spp.
laucom,Laurencia_corticated_macrophyte,Macroalgae,
lbamas,Lobactis_massive,Hard coral,
lembus,Lemnalia_bushy,Soft coral,
letenc,Leptastrea_encrusting,Hard coral,
letmas,Leptastrea_massive,Hard coral,
liaart,Liagora/Neoizziella_articulated_calcareous,Macroalgae,Liagora spp. / Neoizziella spp.
limess,limestone_stable_substrate,Stable substrate,
linoth,Linckia_other_life,Other mobile invertebrates,
lisenc,Lissoclinum_encrusting,Ascidian,
litbus,Litophyton_bushy,Soft coral,(Sinularia finitima / Sinularia querciformis)
litenc,Lithophyllon_encrusting,Hard coral,
litfol,Lithophyllon_foliose,Hard coral,
lobcof,Lobophora_corticated_foliose,Macroalgae,
lobenc,Lobophyllia_encrusting,Hard coral,
lobmas,Lobophyllia_massive,Hard coral,
lohenc,Lohowia_encrusting,Soft coral,
loodig,Lobophytum_digitate,Soft coral,
loolob,Lobophytum_lobate,Soft coral,
loomas,Lobophytum_massive,Soft coral,
lpsenc,Leptoseris_encrusting,Hard coral,
lpsfol,Leptoseris_foliose,Hard coral,
ltrenc,Leptoria_encrustring,Hard coral,
ltrmas,Leptoria_massive,Hard coral,
marart,Corallina_articulated_calcareous,Macroalgae,# Marginisporum spp. (Accepted Name: Corallina spp.) *sp. in our transect
masart,others_cca,CCA,others_cca / Mastophora spp. *sp. in our transect
melcof,Melanamansia_corticated_foliose,Macroalgae,
melfan,Melithaeidae_fan,Gorgonian,
mercom,Meristotheca_corticated_macrophyte,Macroalgae,
merenc,Merulinidae_encrusting,Hard coral,
mermas,Merulinidae_massive,Hard coral,
mesart,Mesophyllum_articulated_calcareous,Macroalgae,
meuenc,Merulina_encrusting,Hard coral,
meufol,Merulina_foliose,Hard coral,
milarb,Millepora_arborescent,Hard coral,## Hydrozoa
milbus,Millepora_bushy,Hard coral,## Hydrozoa
milenc,Millepora_encrusting,Hard coral,## Hydrozoa
monenc,Porites/Montipora_encrusting,Hard coral,Montipora spp. / Porites spp.
monfol,Montipora_foliose,Hard coral,
monmas,Montipora_massive,Hard coral,
mycenc,Mycedium_encrusting,Hard coral,
mycfol,Mycedium_foliose,Hard coral,
nemenc,Nemanthus_encrusting,Actiniaria,
neocof,Neomeris_corticated_foliose,Macroalgae,
nepbus,Nephthyigorgia_bushy,Soft coral,
nettws,fish_net,Artificial Debris,
neucom,Neurymenia_corticated_macrophyte,Macroalgae,
nudoth,Nudibranch_spp,Other mobile invertebrates,
ochoth,Osteichthyes_other_life,Fish,
ophoth,Ophiuroidea_other_life,Other mobile invertebrates,
othcca,others_cca,CCA,
othoth,other_life,Other sessile invertebrates,
oulenc,Oulophyllia_encrusting,Hard coral,
oulmas,Oulophyllia_massive,Hard coral,
oustenc,Oulastrea_ encrusting,Hard coral,
oxyenc,Echinophyllia/Oxypora_encrusting,Hard coral,Echinophyllia spp. / Oxypora spp.
oxyfol,Echinophyllia/Oxypora_foliose,Hard coral,Echinophyllia spp. / Oxypora spp.
oxymas,Echinophyllia/Oxypora_massive,Hard coral,Echinophyllia spp. / Oxypora spp.
pacenc,Pachyseris_encrusting,Hard coral,
pacfol,Pachyseris_foliose,Hard coral,
padcof,Padina_corticated_foliose,Macroalgae,
pagenc,Paragoniastrea_encrusting,Hard coral,
pagmas,Paragoniastrea_massive,Hard coral,
pagoth,Paguroidea_other_life,Other mobile invertebrates,
palenc,Palythoa_encrusting,Zoanthid,
palmas,Palythoa_encrusting,Zoanthid,
pararb,Parazoanthus_arborescent,Zoanthid,
parbus,Paraminabea_bushy,Gorgonian,
parmas,Paraminabea_massive,Gorgonian,
pavcol,Pavona_columnar,Hard coral,
pavenc,Pavona_encrusting,Hard coral,
pavfol,Pavona_foliose,Hard coral,
pavmas,Pavona_massive,Hard coral,
pecenc,Pectinia_encrusting,Hard coral,
pescca,Peyssonnelia_cca,CCA,
phsenc,Physophyllia_encrusting,Hard coral,
phyenc,Phymanthus_encrusting,Actiniaria,
pinarb,Pinnigorgia_arborescent,Gorgonian,
plaenc,Platygyra_encrusting,Hard coral,(Paragoniastrea deformis)
plamas,Platygyra_massive,Hard coral,
pleenc,Plesiastrea_encrusting,Hard coral,
plemas,Pleuractis_massive,Hard coral,
pocbus,Pocillopora_bushy,Hard coral,
poctab,Pocillopora_tabular,Hard coral,
podenc,Podabacia_encrusting,Hard coral,
podfol,Podabacia_foliose,Hard coral,
polmas,Polyphyllia_massive,Hard coral,
porcom,Portieria_corticated_macrophyte,Macroalgae,
potcol,Porites_columnar,Hard coral,(Montipora porites)
potenc,Porites/Montipora_encrusting,Hard coral,Montipora spp. / Porites spp.
potfol,Porites_foliose,Hard coral,
potmas,Porites_massive,Hard coral,
psabus,Psammocora_bushy,Hard coral,
psacol,Psammocora_spp/Coscinaraea_exesa_columnar,Hard coral,(Coscinaraea exesa)
psaenc,Psammocora_encrusting,Hard coral,
psamas,Psammocora_massive,Hard coral,
redart,Red_algae_articulated_calcareous,Macroalgae,
redcof,Red_algae_corticated_foliose,Macroalgae,
redcom,Red_algae_corticated_macrophyte,Macroalgae,
redfil,Red_filamentous_algae,Turf,
redcof1,Red_algae_corticated_foliose,Macroalgae,
rhocom,Rhodopeltis_corticated_macrophyte,Macroalgae,
rhyenc,Rhytisma_encrusting,Soft coral,
rockss,rock_stable_substrate,Stable substrate,
rubbus,rubble_unstable_substrate,Unstable substrate,
rumarb,Rumphella_arborescent,Gorgonian,
rumbus,Rumphella_bushy,Gorgonian,
saboth,Sabellastarte_other_life,Other sessile invertebrates,
sandus,sand_unstable_substrate,Unstable substrate,
sarlem,Sargassum_leathery_macrophyte,Macroalgae,
sarlob,Sarcophyton_lobate,Soft coral,
sarmas,Sarcophyton_massive,Soft coral,
scacol,Scapophyllia_columnar,Hard coral,
sclbus,Scleronephthya_bushy,Soft coral,
scomas,Scolymia_massive,Hard coral,
sebcof,Sebdenia_corticated_foliose,Macroalgae,
serbus,Seriatopora_bushy,Hard coral,
shatws,shadow_TWS,TWS,
sidenc,Siderastrea_encrusting,Hard coral,
sidmas,Siderastrea_massive,Hard coral,
siltus,silt_unstable_substrate,Unstable substrate,
sinbus,Sinularia/Cladiella/Klyxum_bushy,Soft coral,Sinularia spp. / Cladiella spp. / Klyxum spp.
sindig,Sinularia/Cladiella/Klyxum_digitate,Soft coral,Sinularia spp. / Cladiella spp. / Klyxum spp.
sinlob,Sinularia/Cladiella/Klyxum_lobate,Soft coral,Sinularia spp. / Cladiella spp. / Klyxum spp.
sipbus,Siphonogorgia_bushy,Soft coral,
sipfan,Siphonogorgia_fan,Gorgonian,
solfan,Solenocaulon_fan,Gorgonian,
spacof,Spatoglossum/Stypopodium_corticated_foliose,Macroalgae,Spatoglossum spp. / Stypopodium spp.
spoarb,Sponge_arborescent,Sponge,
spoenc,Sponge_encrusting,Sponge,
spofla,Sponge_flabellate,Sponge,
spoglo,Sponge_globular,Sponge,
spomas,Sponge_massive,Sponge,
spopap,Sponge_papillate,Sponge,
spoped,Sponge_pedunculate,Sponge,
sporep,Sponge_repent_branching,Sponge,
spotub,Sponge_tubular,Sponge,
spycom,Spyridia_corticated_macrophyte,Macroalgae,
stebus,Stereonephthya_bushy,Soft coral,
stienc,Stichodactylidae_encrusting,Actiniaria,
stlenc,Stylocoeniella_encrusting,Hard coral,
stpcof,Spatoglossum/Stypopodium_corticated_foliose,Macroalgae,Spatoglossum spp. / Stypopodium spp.
stybus,Stylophora_bushy,Hard coral,
syabus,Stylaster_bushy,Hard coral,## Hydrozoa
symenc,Lobophyllia_encrusting,Hard coral,
symmas,Lobophyllia_massive,Hard coral,
taptws,tape_TWS,TWS,# for undeletable Transect in picture
terenc,Terpios_encrusting,Sponge,
thalhem,Thalassia_hemprichii_seagrass,Seagrass,# we put Seagrass in to Macroalgae
triart,Tricleocarpa_articulated_calcareous,Macroalgae,(Dotyophycus yamadae)
trienc,Tridacna_encrusting,Other sessile invertebrates,
tubmas,Tubipora_massive,Hard coral,
turcom,Turbinaria_corticated_foliose,Macroalgae,
turenc,Turbinaria_encrusting,Hard coral,
turfil,Turf_filamentous,Turf,
turfol,Turbinaria_foliose,Hard coral,
turmas,Turbinaria_massive,Hard coral,
turrad_enc,Turbinaria_encrusting,Hard coral,ONLY Turbinaria radicalis
tursed,Turf_sedimented,Turf,
tusbus,Tubastraea/Cladopsammia_bushy,Hard coral,(Cladopsammia eguchii)
tusenc,Tubastraea_encrusting,Hard coral,
tusmas,Tubastraea_massive,Hard coral,
udocom,Udotea_corticated_macrophyte,Macroalgae,
ulvfol,Ulva_foliose,Macroalgae,
unktws,unknown_TWS,TWS,
valcof,Valonia_corticated_foliose,Macroalgae,
vimwhi,Viminella_whip,Gorgonian,
wantws,wand_TWS,TWS,# for undeletable Quadrat in picture
xesmas,Xestospongia_massive,Sponge,
xnaclu,Xenia/Heteroxenia_clustered,Soft coral,Xenia spp. / Heteroxenia spp. / Anthelia elongata / Sansibia flava / Sansibia formosana / Yamazatum iubatum
zoaenc,Zoanthus_encrusting,Zoanthid,
zoamas,Zoanthus_massive,Zoanthid,# all combine to encrusting one in future
zoncof,Zonaria_corticated_foliose,Macroalgae,Zonaria spp. (Homoeostrichus formosanus)
